method,n_runs,mean_cvsr,pass1,pass3,pass5,object_f1,critical_recall,relation_f1,binding_f1,fatal_violation_rate,evidence_precision,replay_success,llm_calls_mean,cost_mean
SingleAgent-AllTools,100,0.36,0.36,0.5,0.5,0.6854,0.9,0.3911,0.1267,0.32,0.9,0.6068,1.2,0.0003
ReAct-AllTools,100,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,9.27,0.0026
GenericMultiAgent-AllTools,100,0.01,0.01,0.0294,0.05,0.4613,0.8,0.1999,0.0433,0.31,0.79,0.0,5.0,0.0011
GenericRepair-AllTools,100,0.06,0.06,0.1176,0.1,0.4566,0.8,0.2453,0.0425,0.07,1.0,1.0,1.32,0.0004
KAFarmTwin-TypedRepair,100,0.61,0.61,0.7353,0.7,0.7997,1.0,0.5342,0.5292,0.0,1.0,1.0,1.72,0.0003
