task_id,method,category,cvsr,object_f1,critical_recall,relation_f1,binding_f1,repair_success,fatal_violation,evidence_precision,replay_success,llm_calls,tool_calls,repair_rounds,tokens,cost_usd,latency_ms
TN02-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,0.0,5,8,0,5540,0.00106204,20139.1
TN02-v2-scene,GenericRepair-AllTools,scene,True,1.0,1.0,0.7143,0.0,,[],1.0,1.0,2,3,1,3740,0.00077616,36193.9
TN02-v2-scene,GenericRepair-AllTools,scene,True,1.0,1.0,0.7143,0.0,,[],1.0,1.0,1,3,0,1689,0.00037618,13570.9
TN02-v2-scene,GenericRepair-AllTools,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,1.0,2,3,1,3496,0.00072254,21438.7
TN02-v2-scene,GenericRepair-AllTools,scene,True,1.0,1.0,0.7143,0.0,,[],1.0,1.0,1,3,0,1676,0.00037254,15636.9
TN02-v2-scene,GenericRepair-AllTools,scene,True,1.0,1.0,0.7143,0.0,,[],1.0,1.0,1,3,0,1741,0.00039074,12299.4
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,1.0,3,16,0,3691,0.0006829200000000001,17645.7
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0,1.0,1.0,0.0,,[],1.0,1.0,5,12,2,6246,0.00095774,34300.7
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0,1.0,1.0,0.0,,[],1.0,1.0,3,9,0,3023,0.00050092,10760.4
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,1.0,4,17,1,5425,0.0009112599999999999,18872.7
TN02-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0,1.0,0.7143,0.0,,[],1.0,1.0,3,16,0,3347,0.00058632,13058.2
TN03-v2-scene,SingleAgent-AllTools,scene,False,0.9825,1.0,0.7273,0.0,,"['R5', 'R5']",1.0,0.625,3,13,0,3199,0.00054684,14238.2
TN03-v2-scene,SingleAgent-AllTools,scene,True,1.0,1.0,1.0,0.0,,[],1.0,0.5714,3,12,0,3085,0.0005166,12766.3
TN03-v2-scene,SingleAgent-AllTools,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,0.6667,3,22,0,3468,0.0006188,18139.4
TN03-v2-scene,SingleAgent-AllTools,scene,True,1.0,1.0,1.0,0.0,,[],1.0,0.5714,3,17,0,3435,0.0006146,14964.1
TN03-v2-scene,SingleAgent-AllTools,scene,True,1.0,1.0,1.0,0.0,,[],1.0,0.5714,3,12,0,3069,0.00051212,9995.7
TN03-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,14310,0.00301042,137954.3
TN03-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,14210,0.00298452,100206.5
TN03-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,17666,0.00396172,133612.8
TN03-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,14697,0.0031241,108839.3
TN03-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,13618,0.00281666,77915.2
TN03-v2-scene,GenericMultiAgent-AllTools,scene,False,0.9825,1.0,0.4615,0.0,,[],1.0,0.0,5,9,0,5841,0.00114352,27916.9
TN03-v2-scene,GenericMultiAgent-AllTools,scene,False,0.9825,1.0,0.6154,0.0,,[],1.0,0.0,5,9,0,6417,0.0013047999999999998,32216.7
TN03-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,0.0,5,8,0,6344,0.00128436,58960.2
TN03-v2-scene,GenericMultiAgent-AllTools,scene,False,0.9825,1.0,0.5333,0.0,,[],1.0,0.0,5,11,0,6015,0.0011922400000000002,29768.0
TN03-v2-scene,GenericMultiAgent-AllTools,scene,False,0.9825,1.0,0.4615,0.0,,[],1.0,0.0,5,9,0,5921,0.00116592,35736.3
TN03-v2-scene,GenericRepair-AllTools,scene,False,1.0,1.0,0.5714,0.0,,[],1.0,1.0,1,3,0,1677,0.00037226,13377.3
TN03-v2-scene,GenericRepair-AllTools,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,1.0,1,3,0,1536,0.00033278,10847.2
TN03-v2-scene,GenericRepair-AllTools,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,1.0,1,3,0,1496,0.00032158,14335.7
TN03-v2-scene,GenericRepair-AllTools,scene,False,0.9825,1.0,0.5333,0.0,,[],1.0,1.0,1,3,0,1741,0.00039018,53401.0
TN03-v2-scene,GenericRepair-AllTools,scene,False,1.0,1.0,0.5714,0.0,,[],1.0,1.0,1,3,0,1725,0.0003857,16248.4
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,1.0,3,17,0,3453,0.0006146,12530.1
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0,1.0,0.7143,0.0,,[],1.0,1.0,3,17,0,3709,0.0006862799999999999,17160.7
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,1.0,3,14,0,3428,0.0006076,16485.9
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0,1.0,1.0,0.0,,[],1.0,1.0,3,10,0,3063,0.00051016,9721.0
TN03-v2-scene,KAFarmTwin-TypedRepair,scene,True,1.0,1.0,0.7143,0.0,,[],1.0,1.0,3,16,0,3469,0.0006190799999999999,19724.3
TN04-v2-scene,SingleAgent-AllTools,scene,False,1.0,1.0,0.7273,0.0,,"['R5', 'R5']",1.0,0.625,3,21,0,3274,0.0005691,14088.1
TN04-v2-scene,SingleAgent-AllTools,scene,False,0.9697,1.0,0.6154,0.0,,[],1.0,0.6667,3,22,0,3312,0.00057806,12323.5
TN04-v2-scene,SingleAgent-AllTools,scene,False,1.0,1.0,0.8333,0.0,,"['R5', 'R5']",1.0,0.6667,3,16,0,3162,0.00053606,11432.4
TN04-v2-scene,SingleAgent-AllTools,scene,False,1.0,1.0,0.7273,0.0,,[],1.0,0.625,3,19,0,3143,0.00053326,22986.2
TN04-v2-scene,SingleAgent-AllTools,scene,True,1.0,1.0,0.7692,0.0,,[],1.0,0.625,3,19,0,3476,0.00062566,20633.9
TN04-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,15932,0.00347704,117203.9
TN04-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,15417,0.00332738,119014.8
TN04-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,16446,0.0036177399999999995,269798.5
TN04-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,14839,0.0031655399999999997,153525.1
TN04-v2-scene,ReAct-AllTools,scene,False,0.0,1.0,0.0,0.0,,[],0.0,0.0,10,0,0,17447,0.0039067,179838.4
TN04-v2-scene,GenericMultiAgent-AllTools,scene,False,0.9697,1.0,0.6154,0.0,,[],1.0,0.0,5,9,0,5915,0.00116774,29313.9
TN04-v2-scene,GenericMultiAgent-AllTools,scene,False,0.9697,1.0,0.6154,0.0,,[],1.0,0.0,5,9,0,5435,0.0010333399999999998,22849.2
TN04-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0,1.0,0.7273,0.0,,"['R5', 'R5']",1.0,0.0,5,7,0,4995,0.0009101399999999999,24679.5
TN04-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0,1.0,0.6667,0.0,,[],1.0,0.0,5,8,0,5511,0.00105462,33192.5
TN04-v2-scene,GenericMultiAgent-AllTools,scene,False,1.0,1.0,0.7273,0.0,,"['R5', 'R5']",1.0,0.0,5,7,0,5629,0.0010876599999999998,28787.1
TN04-v2-scene,GenericRepair-AllTools,scene,False,1.0,1.0,0.7273,0.0,,[],1.0,1.0,1,3,0,1289,0.00026432,8928.5
TN04-v2-scene,GenericRepair-AllTools,scene,False,1.0,1.0,0.7273,0.0,,[],1.0,1.0,1,3,0,1389,0.00029232,9645.1
TN04-v2-scene,GenericRepair-AllTools,scene,False,0.9697,1.0,0.6154,0.0,,[],1.0,1.0,1,3,0,1577,0.00034496,5719.4
TN04-v2-scene,GenericRepair-AllTools,scene,False,1.0,1.0,0.7273,0.0,,[],1.0,1.0,2,3,1,3061,0.00060816,21620.8
